rank,blog_code,segment,impressions,clicks,ctr
646,6765,passing,77,0,0.000000
647,6772,비여행,743,0,0.000000
648,6790,low,53,0,0.000000
649,6829,passing,130,0,0.000000
650,6854,passing,221,0,0.000000
651,6863,비여행,58,0,0.000000
652,6871,low,51,0,0.000000
653,6881,비여행,307,0,0.000000
654,6883,비여행,95,0,0.000000
655,6896,비여행,177,0,0.000000
656,6906,low,57,0,0.000000
657,6912,low,61,0,0.000000
658,6918,passing,276,0,0.000000
659,6931,비여행,150,0,0.000000
660,6942,low,69,0,0.000000
661,6943,passing,444,0,0.000000
662,6946,low,131,0,0.000000
663,6957,passing,126,0,0.000000
664,6978,passing,54,0,0.000000
665,6987,비여행,57,0,0.000000
666,7004,passing,68,0,0.000000
667,7026,비여행,292,0,0.000000
668,7079,low,62,0,0.000000
669,7081,비여행,80,0,0.000000
670,7097,비여행,77,0,0.000000
671,7109,low,97,0,0.000000
672,7115,비여행,163,0,0.000000
673,7124,비여행,67,0,0.000000
674,7132,low,293,0,0.000000
675,7134,비여행,412,0,0.000000
676,7138,비여행,187,0,0.000000
677,7157,비여행,57,0,0.000000
678,7179,low,72,0,0.000000
679,7208,low,50,0,0.000000
680,7209,low,74,0,0.000000
681,7229,passing,116,0,0.000000
682,7239,비여행,55,0,0.000000
683,7241,low,180,0,0.000000
684,7258,low,53,0,0.000000
685,7278,passing,1465,0,0.000000
